,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
11775,2019-10-01 05:56:20 UTC,view,5529,1.48758E+18,,ingarden,5.24,553016687,015d2c58-467b-4bfa-8dd2-036e951fdf90
11776,2019-10-01 05:56:20 UTC,remove_from_cart,5856186,1.48758E+18,,runail,75.4,555498930,a5b9619f-ca96-470f-a0c4-c125f7be6bf0
11777,2019-10-01 05:56:21 UTC,cart,5751401,1.51189E+18,,uno,9.37,546304229,13965d78-fd57-4660-bd87-dceacc74402e
11778,2019-10-01 05:56:22 UTC,view,5700095,1.784E+18,,,14.13,505621944,c230fad3-eff3-4dcf-82c2-892a110d9aff
11779,2019-10-01 05:56:23 UTC,remove_from_cart,5582936,1.48758E+18,,,2.86,554057689,b976ceca-b91d-42fe-b731-18f33136e029
11780,2019-10-01 05:56:23 UTC,remove_from_cart,5582936,1.48758E+18,,,2.86,554057689,b976ceca-b91d-42fe-b731-18f33136e029
11781,2019-10-01 05:56:26 UTC,cart,5372,1.48758E+18,,runail,7.14,554043335,8ad649da-d15d-49e6-ac80-4b506b348d1e
11782,2019-10-01 05:56:27 UTC,remove_from_cart,5587764,1.48758E+18,,irisk,1.59,537042496,d7276e10-c702-4253-85a7-8f8c07382575
11783,2019-10-01 05:56:27 UTC,view,5886529,1.48758E+18,,kares,23.21,525434672,b267366d-d6e3-4f00-9a81-a19e12332364
11784,2019-10-01 05:56:27 UTC,view,5884356,1.48758E+18,,oniq,10.32,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11785,2019-10-01 05:56:28 UTC,view,5599264,1.48758E+18,,,7.14,542353369,6dfcbae7-b2d6-4312-98df-618a554000c3
11786,2019-10-01 05:56:28 UTC,view,5727536,1.48758E+18,,,2.7,368752740,824bb2d4-98de-459b-be68-aad0c90816bd
11787,2019-10-01 05:56:28 UTC,view,5877385,1.89712E+18,,masura,3.95,555503997,c5e323b4-85cf-4b47-a6fc-7df8f51d9c01
11788,2019-10-01 05:56:28 UTC,view,5877385,1.89712E+18,,masura,3.95,555503994,968ff12c-b47c-4f76-81a1-d63f4e5092bf
11789,2019-10-01 05:56:31 UTC,cart,5875319,1.48758E+18,,,0.92,466012293,4916e61c-6b57-46a5-b743-6c7203b29644
11790,2019-10-01 05:56:31 UTC,view,5813834,1.48758E+18,,,3.79,498249982,fdc257f2-b7ca-4ab2-bffd-272767f4cdba
